epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.293,0.33077,1.03109,0.93272,0.98438,0.41788,0.86715,0.72198,0.62614,9.22491,1.09529,0.000543038,0.000543038,0.000543038
2,257.344,0.39075,0.62069,0.9139,0.33007,0.68293,0.46869,0.33539,1.13033,9.15506,2.72352,0.00106245,0.00106245,0.00106245
3,385.763,0.4101,0.56245,0.91297,0.13362,0.33489,0.18554,0.14409,0.87026,5.76156,1.24398,0.00154518,0.00154518,0.00154518
4,513.718,0.40041,0.50615,0.90715,0.76591,0.95008,0.94312,0.85305,0.35978,2.33334,0.84851,0.00150197,0.00150197,0.00150197
5,639.392,0.34031,0.45345,0.89046,0.80996,0.91987,0.9266,0.87928,0.3267,1.03714,0.82514,0.00144696,0.00144696,0.00144696
6,764.182,0.32639,0.44603,0.89107,0.92574,0.9661,0.98337,0.97226,0.2578,0.34587,0.79718,0.00139195,0.00139195,0.00139195
7,890.012,0.29871,0.43782,0.88712,0.95461,0.9389,0.98841,0.96509,0.25073,0.4317,0.81244,0.00133693,0.00133693,0.00133693
8,1015.79,0.2886,0.44467,0.87737,0.90765,0.96615,0.98274,0.96867,0.216,0.45285,0.78972,0.00128192,0.00128192,0.00128192
9,1141.48,0.28623,0.41478,0.87762,0.96771,0.95763,0.99333,0.96953,0.23267,0.28553,0.79741,0.00122691,0.00122691,0.00122691
10,1267.1,0.26619,0.36651,0.88015,0.94352,0.95733,0.99129,0.98303,0.17371,0.23677,0.78264,0.0011719,0.0011719,0.0011719
11,1392.48,0.24932,0.37162,0.86958,0.96654,0.97641,0.98844,0.98342,0.17643,0.18953,0.78222,0.00111689,0.00111689,0.00111689
12,1517.75,0.25076,0.34097,0.87263,0.96137,0.9661,0.97849,0.97597,0.1764,0.29762,0.78472,0.00106188,0.00106188,0.00106188
13,1644.61,0.24218,0.35228,0.8673,0.95142,0.92689,0.96778,0.93686,0.19744,0.30649,0.81471,0.00100687,0.00100687,0.00100687
14,1770.33,0.24109,0.34423,0.86719,0.98307,0.9732,0.99377,0.9868,0.14924,0.18122,0.79036,0.000951857,0.000951857,0.000951857
15,1894.27,0.23659,0.36528,0.87277,0.95729,0.96404,0.99309,0.98981,0.15324,0.19803,0.77064,0.000896846,0.000896846,0.000896846
16,2018.23,0.22586,0.33635,0.86747,0.9056,0.93478,0.9929,0.99036,0.15043,0.31576,0.77765,0.000841835,0.000841835,0.000841835
17,2142.16,0.22413,0.32571,0.8631,0.95215,0.96581,0.98931,0.98386,0.12919,0.1797,0.78693,0.000786824,0.000786824,0.000786824
18,2266.58,0.20863,0.33241,0.85285,0.94959,0.9889,0.99171,0.9876,0.13738,0.18139,0.78996,0.000731813,0.000731813,0.000731813
19,2389.91,0.21657,0.3102,0.86794,0.97989,0.99153,0.99034,0.98665,0.1427,0.16904,0.78169,0.000676802,0.000676802,0.000676802
20,2514.9,0.20068,0.30776,0.86389,0.94959,0.96736,0.9877,0.98415,0.12136,0.1785,0.78002,0.000621791,0.000621791,0.000621791
21,2639.33,0.12055,0.17321,0.77237,0.97014,0.94039,0.98121,0.97558,0.13216,0.28882,0.78772,0.00056678,0.00056678,0.00056678
22,2761.93,0.13471,0.21319,0.77799,0.96669,0.97769,0.99257,0.98941,0.14023,0.20052,0.78252,0.000511769,0.000511769,0.000511769
23,2884.46,0.13046,0.18654,0.7685,0.93992,0.9843,0.98369,0.97687,0.14255,0.21583,0.76804,0.000456758,0.000456758,0.000456758
24,3007.16,0.12411,0.18636,0.7692,0.97789,0.99153,0.99294,0.99123,0.11584,0.16635,0.76921,0.000401747,0.000401747,0.000401747
25,3130.05,0.10852,0.17552,0.76675,0.93282,0.9672,0.99384,0.99224,0.11072,0.23478,0.76228,0.000346736,0.000346736,0.000346736
26,3253.15,0.10775,0.15935,0.76424,0.99668,0.99811,0.995,0.9934,0.1035,0.13219,0.7639,0.000291725,0.000291725,0.000291725
27,3377.44,0.10008,0.14278,0.75796,0.98632,0.99228,0.995,0.99345,0.09987,0.11678,0.76654,0.000236714,0.000236714,0.000236714
28,3500.6,0.08984,0.13878,0.76072,0.96988,0.97171,0.99442,0.99279,0.09789,0.15442,0.77077,0.000181703,0.000181703,0.000181703
29,3623.26,0.08373,0.13075,0.75947,0.98313,0.993,0.994,0.99237,0.08202,0.11795,0.77055,0.000126692,0.000126692,0.000126692
30,3746.17,0.07348,0.10538,0.75284,0.98012,0.99113,0.9945,0.99282,0.07757,0.10004,0.76957,7.1681e-05,7.1681e-05,7.1681e-05
